name;plz;bahnsteig;
Salzburg Liefering Bahnhof;5020;2;
Salzburg Taxham Europark Bahnhof;5020;2;
Salzburg Aiglhof Bahnhof;5020;2;
Salzburg Mülln-Altstadt Bahnhof;5020;2;
Salzburg Hbf;5020;9;
Salzburg Sam Bahnhof;5020;2;
Salzburg Gnigl Bahnhof;5020;2;
Salzburg Parsch Bahnhof;5020;2;
Salzburg Aigen Bahnhof;5020;2;
Salzburg Süd Bahnhst;5020;2;
Elsbethen Bahnhof;5061;2;
Puch b.Hallein Urstein Bahnhof;5412;2;
Puch b.Hallein Bahnhof;5412;2;
Oberalm Bahnhof;5411;2;
Hallein Bahnhof;5400;4;
Hallein Burgfried Bahnhof;5400;2;
Bad Vigaun Bahnhof;5424;2;
Kuchl Garnei Bahnhof;5431;2;
Kuchl Bahnhof;5431;2;
Golling-Abtenau Bahnhof;5440;3;
Tenneck Bahnhof;5451;2;
Werfen Bahnhof;5450;2;
Pfarrwerfen Bahnhst;5452;2;
Bischofshofen Bahnhof;5500;7;
Mitterberghütten Bahnhof;5500;2;
St.Johann im Pongau Bahnhof;5600;3;
Schwarzach-St.Veit Bahnhof;5620;5;
Lend/Salzach Bahnhof;5651;2;
Eschenau/Salzach Bahnhof;5660;2;
Taxenbach-Rauris Bahnhof;5660;2;
Gries im Pinzgau Bahnhof;5662;2;
Bruck-Fusch Bahnhof;5671;2;
Zell am See Bahnhof;5700;9;
Maishofen-Saalbach Bahnhof;5751;2;
Gerling im Pinzgau Bahnhof;5760;2;
Saalfelden Bahnhof;5760;2;
Leogang-Steinberge Bahnhof;5771;2;
Leogang Bahnhof;5771;2;
Hochfilzen Bahnhof;6395;3;
Fieberbrunn Bahnhof;6391;2;
St.Johann in Tirol Bahnhof;6380;2;
Kitzbühel Bahnhof;6370;2;
Kirchberg in Tirol Bahnhof;6365;3;
Brixen im Thale Bahnhof;6364;2;
Westendorf in Tirol Bahnhof;6363;2;
Hopfgarten im Brixental Berglift Bahnhof;6361;2;
Wörgl Hbf;6300;15;